"filename", "language", "Ignore", "YAML", "JSON", "JSON with Comments", "PostCSS", "TypeScript", "HTML", "Markdown", "vue", "XML", "comment", "blank", "total"
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\apps\store-inventory-dashboard\src\views\Store.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 207, 0, 0, 9, 216
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\apps\store-inventory-dashboard\tsconfig.app.json", "JSON", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 1, 2, 29
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\apps\store-inventory-dashboard\tsconfig.json", "JSON with Comments", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 1, 23
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\apps\store-inventory-dashboard\tsconfig.node.json", "JSON", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 2, 3, 24
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\apps\store-inventory-dashboard\vite.config.ts", "TypeScript", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 2, 22
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\package.json", "JSON", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\packages\constants\index.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\packages\constants\inventory.ts", "TypeScript", 0, 0, 0, 0, 0, 189, 0, 0, 0, 0, 0, 12, 201
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\packages\constants\package.json", "JSON", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\MatthewBeckwith\Documents\Programming\MondayApps\mim-workspace\packages\constants\tsconfig.json", "JSON with Comments", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
